No,News Title,Class,Prediction
62071,Airlines struggling to break even will make 'less than £4 profit per passenger' this  ...,Business,Business
30789,US midday: Gambling and Airlines lead advance,Business,Business
18497,"Anti-Aging Hormone Could Make You Smarter, Study",Medical,Medical
42575,Euro Volatile On Manufacturing,Business,Business
30200,NY increases Medicaid spending for disabled to live outside institutions since  ...,Medical,Medical
49554,New net neutrality rules allows Internet providers to charge content companies,Technology,Technology
14245,Video: Wizarding World of Harry Potter - Diagon Alley now open at Universal  ...,Entertainment,Entertainment
20720,Beyonce teams with Jennifer Garner and Jane Lynch in campaign to urge girls to  ...,Entertainment,Entertainment
38948,"Automakers to recall air bags in humid parts of US - Business, Government  ...",Technology,Technology
44313,Billion-Dollar Lawsuit Against Actos Resumes Today,Business,Business
61731,6 Things You Need To Know About 'Edge of Tomorrow',Entertainment,Entertainment
42598,Market Wrap-up for Jul. 16 – Learning from Yellen's Concerns,Business,Business
54131,Gwyneth Paltrow - Gwyneth Paltrow and Chris Martin holiday on Faith Hill's island,Entertainment,Entertainment
35714,GWAR Frontman Died Of Accidental Heroin Overdose Says Coroner,Entertainment,Entertainment
14403,Samsung Galaxy Note 4 to Come with 5.7-inch 2K Display,Technology,Technology
21620,Samsung Galaxy S6 Wish List: What We Would Like To See (Part 1),Technology,Technology
56325,Pixar Moving Forward With 'Cars 3′ (Meh) & 'The Incredibles 2′ (YES!),Entertainment,Entertainment
31715,All-new 2015 Toyota Camry becomes an edgier appliance,Business,Technology
63082,"Android App Updates 6/27/14: Facebook Pages Manager, Netflix, Google  ...",Technology,Technology
8737,Bioresorbable splints used for second time ever,Medical,Business
134,Huge rise in e-cigarette TV advertising for young adults,Medical,Medical
36077,Coke's Profit Declines Though Volumes Improve -- Update,Business,Business
43818,New Causes Of Autism Discovered,Medical,Medical
60644,Stunning opening: '22 Jump Street' narrowly wins the weekend with $60 million,Entertainment,Entertainment
2067,Google begins removing contested search results,Technology,Technology
22980,Gas prices jump during refinery down time,Technology,Technology
39362,European Stocks End Choppy Day in Black,Business,Business
547,DietBet allows you to win cash for losing weight,Medical,Entertainment
3619,US to allow some people to enroll in Obamacare after deadline,Business,Business
64872,Is Apple Launching Two New iPhones In 2014?,Technology,Technology
57638,WhatsApp Free Download – Soon you Will be Able to Make Free Voice Calls on it,Technology,Technology
12292,"Macaulay Culkin's Band, Pizza Underground, Storm Off Stage At UK Festival Gig  ...",Entertainment,Entertainment
29915,"Review: 'How To Train Your Dragon 2' packs better action, fewer jokes",Entertainment,Entertainment
25304,Twitter marks birthday with celebs' first tweet search,Technology,Entertainment
49289,Ohio Gas Prices Continue to Drop After Holiday,Technology,Business
29401,"IMF throws Ukraine financial lifeline, Russia isolated",Business,Business
9157,"Recalls at General Motors, Chrysler raise questions about the safety of auto parts",Technology,Technology
64700,Cisco partners with Telstra to boost cloud,Technology,Technology
54223,FDA Denies Aspirin Label Change for First MI Prevention,Medical,Medical
40589,'Jump' for joy: Here's the funniest summer movie (so far),Entertainment,Entertainment
15092,Loser in an Apple deal for Beats? Big-box stores,Technology,Technology
42146,R.J. Reynolds Sells Iconic Reynolds Building For $7.8 Mln,Business,Business
37763,Nintendo Wii U Sales Flop Resulting in a Loss of $457M,Technology,Technology
54232,Uber car-sharing app spurs taxi strikes across Europe,Business,Business
8673,IPCC Summary for Policy Makers on Climate Change Criticized by Coordinating  ...,Technology,Technology
17003,"Cancer-drug market zooms toward $100B, thanks to costly targeted therapies",Medical,Medical
26867,'Full House' Cast Reunites at Dave Coulier and Melissa Bring's Wedding,Entertainment,Entertainment
5605,EPA proposes 30 percent reduction in power plant carbon emissions,Business,Business
33451,Single-Family Home Sales Jump in April,Business,Business
6862,"China state media calls for 'severe punishment' for Google, Apple, US tech firms",Technology,Technology
3021,The Paltrow Trap? Gwyneth Boasts To Friends She Has Estranged Husband  ...,Entertainment,Entertainment
16662,The Moto X+1 might have some exciting new tricks up its sleeve,Technology,Technology
1479,NASA aborts launch of CO2-measuring satellite,Technology,Technology
5548,India is a big bet on Facebook timeline: Sheryl Sandberg,Technology,Technology
52442,N. Korea calls new movie 'act of war',Entertainment,Entertainment
42154,Wayne Knight Is Alive! 'Seinfeld' Actor Tweets To Quash Death Hoax,Entertainment,Entertainment
16867,Transformers: Age of Extinction: Lorenzo di Bonaventura Interview,Entertainment,Entertainment
35508,Google Glass Gets New Google Calendar Glassware That's Pinned To The Left  ...,Technology,Technology
31872,Physicians warn higher BP increases stroke risk,Medical,Medical
3314,This Weekend at the Box Office (June 13-14-15),Entertainment,Entertainment
11252,Has Comcast Stopped the Cord-Cutters?,Technology,Technology
52443,Kanye West reportedly celebrates bachelor party,Entertainment,Entertainment
41111,A Big Big Ad: Apple Taps the Pixies to Sell iPhones,Technology,Technology
3591,"Judge Tesla CEO Elon Musk on his actions, not his words",Technology,Technology
5011,NASA's Flying Saucer Test Flight A Success,Technology,Technology
12528,"The Walking Dead Season 4 Finale Sets Ratings Record, DEVOURS Competition",Entertainment,Entertainment
58557,10 things Microsoft should do with Nokia,Technology,Technology
31330,Fiat Chrysler unveils aggressive five-year plan,Business,Business
52277,Florida's consumer confidence trails nation's,Business,Business
60158,Get an advanced peak of 'Dawn of the Planet of the Apes' in Casper,Entertainment,Entertainment
12263,Fireworks Safety: How You Can Prevent Injuries (Video),Entertainment,Entertainment
13151,'Dancing with the Stars' returned for Season 18 on ABC with new things,Entertainment,Entertainment
35639,Can divorce be pretty?,Entertainment,Entertainment
12816,Chicago mayor grateful for Lucas museum choice,Entertainment,Entertainment
46780,iPhone 6 rumors: Catcher's 4.7-inch chassis rejected by Apple due to defects,Technology,Technology
797,PSA – PlayStation Network Maintenance Postponed Due To DDoS Attacks,Technology,Technology
20225,Amazon releases new Fire smartphone,Business,Technology
26949,"'Life Of Crime' Star Jennifer Aniston Reunites With Courteney Cox, Lisa Kudrow  ...",Entertainment,Entertainment
17289,Biggest Dinosaur That Ever Lived Discovered In Argentina,Technology,Technology
38131,Samsung Galaxy Note 4 launch draws closer as phablet enters mass production  ...,Technology,Technology
62052,"eBay security: Be safe, shop on high street, says minister",Technology,Business
48673,Apple's iWatch Mystery Continues with Korean Trademark Filing,Technology,Technology
24848,Where To Now For The Euro After Mario Draghi Signals An Easing Is Coming?,Business,Business
21467,Justin Bieber DUI charges dropped: source,Entertainment,Entertainment
39511,Brick Mansions Review: Paul Walker Goes Deep,Entertainment,Entertainment
46646,Consumer Price Index up,Business,Business
44778,Study: Nose can sniff out 1 trillion scents,Medical,Medical
1174,Heart specialists: 'Beware binge-viewing',Medical,Medical
61633,Pfizer ditches pursuit of AstraZeneca,Business,Business
22715,"Surface Pro, Take 3: With its latest tablet, Microsoft has its eyes on your lap",Technology,Technology
48378,Dramatic NASA satellite images show our air getting cleaner,Technology,Technology
46519,Coming back ... According to reports Rosie O'Donnell will be returning to US chat  ...,Entertainment,Entertainment
2077,Microsoft officially completes acquisition of Nokia Devices and Services division  ...,Technology,Technology
46265,Fox Plans to Con Prince Harry-Crazed American Girls,Entertainment,Entertainment
6544,Tobacco use target of government surveys,Medical,Business
57093,Surface Pro 3 vs. iPad Air: Which is Better for Business?,Technology,Technology
54144,Andi Dorfman's Mystery Letter Written by Nick Viall — What Did It Say?,Entertainment,Entertainment
34750,Amazon Unveils Smartphone “Fire Phone”,Technology,Technology
7199,Missing Malaysia flight MH370 update: New signal spurs search for missing  ...,Business,Business
1747,Amaya Gaming Becomes Online Leader With $4.9 Billion Deal,Business,Business
13361,MISSING MH370: AMSA concludes search today with no luck,Business,Business
18306,Tesla Motors Inc Plans Manufacturing Plant In Europe [REPORT],Technology,Business
41011,Will Ferrell has a drum off with RHCP's Chad Smith on 'The Tonight Show',Entertainment,Entertainment
24116,Apple iOS 8's 12 Best Business Features,Technology,Technology
38729,Suffer from migraines? Device worn on the head may prevent them,Medical,Medical
11318,CNBC host accidentally outs Apple CEO Tim Cook during live television,Technology,Technology
23668,Apple devices held hostage using Find My iPhone,Technology,Technology
64398,Back-up dancer sues Britney Spears for 'recklessly' breaking her nose in rehearsal,Entertainment,Entertainment
58064,Kesha Goes For Glam In A Goth-Inspired Gown At The 2014 Billboard Music  ...,Entertainment,Entertainment
5994,"News Buzz - Medical Marijuana Inc(OTCMKTS:MJNA), GRAPHITE ONE  ...",Medical,Medical
61254,Mad Men Premiere: Don Draper—in the Passenger Seat?!,Entertainment,Entertainment
8785,Miley Cyrus' Maserati stolen,Entertainment,Entertainment
43814,Rice Bucket Challenge the Next Mega Viral Sensation?,Entertainment,Entertainment
27992,"Box, Online Storage Service Provider, Files For IPO",Business,Business
54774,"Wall Street Today: 'The Risk in the Summer Isn't Financial, It's Geopolitical'",Business,Business
52965,The entire system of drug evaluation is flawed,Medical,Medical
20039,Stock Market News: Two-Day Dow Decline for the First Time Since Mid-May,Business,Business
12999,US Airways tweets porn pic to complaining customer,Entertainment,Entertainment
27227,Sony moves to virtual reality gaming,Technology,Technology
52842,MakerBot Ships Replicator Z18 3D Printer,Technology,Technology
45353,Movie Review: “Tammy” (Rated R),Entertainment,Entertainment
11552,Fed's George Sees Room For Rate Hikes This Year,Business,Business
44684,French and Benelux stocks-Factors to watch on March 13,Business,Business
2631,"First Life with ""Alien"" DNA Created in Lab",Technology,Technology
19407,Smart shirt and 3D-printed robot revealed by Intel,Technology,Technology
56654,"'Dawn Of The Planet of The Apes' Adds Prequel Short Films, Featurette",Entertainment,Entertainment
29219,Potentially explosive air bags prompt massive recall by Japanese carmakers,Technology,Technology
41699,Planet of the Dopes,Entertainment,Technology
26861,Review: 'Heaven is for Real' heartfelt but dull,Entertainment,Entertainment
22298,GM recalling 3 million more cars,Business,Technology
2718,Powdered alcohols don't have approval,Entertainment,Entertainment
23693,Solange: Beyonce's Sister Punches & Kicks Jay Z In An Elevator — Watch,Entertainment,Entertainment
4107,Ignition Strikes Again: GM Recalling All 2010-2014 Camaros for Key Fob Issue,Technology,Technology
55018,"Dancing with the Stars: James Maslow, Meryl Davis Get the Party Going & Drew  ...",Entertainment,Entertainment
1951,Office for iPad apps have been downloaded 27 million times in 46 days,Technology,Technology
39723,Judge orders Chris Brown to stay in the clink until April 23,Entertainment,Entertainment
50403,"Michaels Sets IPO Price At $17, Will Debut Today On The Nasdaq",Business,Business
9859,Kanye West (L) and Jay-Z. (AFP file photo),Entertainment,Entertainment
57647,Tesla's New Models Will Be Around 50% Cheaper,Technology,Technology
48665,"Fox News Uses 'BioShock Infinite' Logo, Ken Levine Calls It 'Irony'",Technology,Entertainment
14202,Fiat leaving Italy amid Chrysler merger's global aspirations,Business,Business
44673,PS4 gets virtual-reality headset,Technology,Technology
56755,Prince Harry and Cressida Bonas: a hint of a royal engagement?,Entertainment,Entertainment
44811,King Digital Entertainment Stock Taking A Bath On Candy Crush Fears,Business,Business
24236,Mark Ballas injured! Preview: Dancing With The Stars: Season 18 Finals,Entertainment,Entertainment
44749,Production of iPhone 6 reportedly being affected by screen design problem,Technology,Technology
31893,The Bachelorette 2014 Spoilers: Andi Dorfman Happier Than Ever!,Entertainment,Entertainment
15919,'SNL' host Lena Dunham calls 'Girls' spoof 'one of the best things' ever,Entertainment,Entertainment
32563,Damage From Massive Target Data Breach Is Tough But Temporary,Business,Business
58481,Saudi MERS death toll passes the 100 mark,Medical,Medical
6405,MannKind: What The Afrezza Label Really Says (MNKD),Medical,Medical
7859,Ice Bucket Challenge dedicated to dead wife - Ice Bucket Challenge for a real  ...,Entertainment,Entertainment
22607,Jobs Government's 'Sole Interest' In Pfizer Move,Business,Business
33840,Gas prices may be close to 2014 peak,Business,Business
33450,Gold price edges lower,Business,Business
52160,Bing offers to forget links in Europe searches,Technology,Technology
64238,Barbara Walters' Farewell to 'The View': 5 Best Moments,Entertainment,Entertainment
12372,Honda looks to Asimo robot for autonomous car advantage,Technology,Technology
36448,Awkward: new Twitter looks just like Facebook,Technology,Technology
6953,"Texas claims a trophy, and 3000 jobs, in winning Toyota",Business,Business
60694,Jennifer Esposito's book: Is she talking about Bradley Cooper?,Entertainment,Entertainment
62097,Boogie boards and inflatable boats on Sunset Boulevard after water main bursts,Business,Business
6619,Microsoft job cuts suggest company cultural shift,Technology,Technology
1714,Rolf Harris found guilty of sexual assaults,Entertainment,Entertainment
25887,"Tori Spelling, Dean McDermott open the door on their sex life",Entertainment,Entertainment
40706,BNP chief offers 'regrets' for financing terrorist states after $9B fine,Business,Business
15754,In Defense of the Ice Bucket Challenge,Entertainment,Entertainment
26278,Private Keys Can Be Pilfered With Heartbleed Exploits,Technology,Technology
65519,Video of mother bear rescuing cub from side of BC highway garners more than  ...,Entertainment,Entertainment
47582,"Argentina, holdout creditors discuss extension (ARGT)",Business,Business
31776,AAA SOUTHERN NEW ENGLAND: Gas prices down a penny this week,Technology,Business
28617,'Guardians' blasts Marvel in a different direction,Entertainment,Entertainment
64419,Space on Columbia's Main Street can be rented for Bitcoin,Business,Technology
34819,Photos: Josh Kaufman wins 'The Voice' for Team Usher,Entertainment,Entertainment
4337,The 3 Most Eye-Opening Moments of Oprah's Lindsay Premiere,Entertainment,Entertainment
15862,"Donald Levine, Father of GI Joe, Dies at 86",Entertainment,Entertainment
17143,Twitter rolls out 'mute' feature,Technology,Technology
20817,Euro to US Dollar (EUR/USD) Exchange Rate weakens sharply as Ukraine  ...,Business,Business
58111,McDonald's (MCD) to Undergo Further Scrutiny in Russia - Analyst Blog,Business,Business
59101,"Daum to Acquire Kakao, Creating Strong Competitor against Naver",Business,Business
3352,The Voice Upstate contestant advances after battle round,Entertainment,Entertainment
28704,Twitter To Roll Out New Profile Page Design,Technology,Technology
15178,Horse Racing: Will Rogers Downs morning line,Entertainment,Entertainment
54193,Lululemon Athletica inc. (LULU) news: 2014 Will Be A Strong Year For Lululemon,Business,Business
44655,What will Android 5.0 “L” be called? [POLL],Technology,Technology
2174,Menendez Scandal Donor Paid More Than Any Other Doctor by Medicare,Medical,Medical
10590,McDonald's dishes out Taco Bell slam in breakfast battle,Business,Business
39223,Fiat Chrysler reveals plans for future sales targets,Business,Business
55871,Batman: Arkham Knight Rides Batmobile in Style - Hands on,Entertainment,Entertainment
10319,"Asiana, Boeing express mixed feelings about crash report",Business,Business
49023,"Kuwait expects oil price to ease Crude price rise due to violence in Iraq, Libya: Al  ...",Business,Business
53868,"Autism spectrum disorder cases jump in US, Alabama; UAB expert explains",Medical,Medical
36347,Pfizer and AstraZeneca bosses face the £63bn questions,Business,Business
43584,Movie review: Luxury and laughs in 'Grand Budapest Hotel',Entertainment,Entertainment
51381,Chrysler answer due on Jeep recall's slow pace,Technology,Business
52383,"Events, providers in Missoula to help buyers navigate ACA enrollment process",Business,Business
62419,"Should You Buy This Rally, or Fear a Crash?",Business,Business
46470,Aust co-ordinates plane search,Business,Business
30447,Chris Evans on Captain America's Evolution,Entertainment,Entertainment
42631,"Happy Birthday, Lady Gaga! See a New Photo of the Star Before She Was Famous",Entertainment,Entertainment
14434,Makers Of 'Candy Crush' To Go Public,Business,Business
36938,Report: Millennium Falcon hit Harrison Ford during “Star Wars” filming,Entertainment,Entertainment
46150,Office 365 Personal will debut this spring,Technology,Technology
45189,Google has made driverless cars. We're officially in the future,Technology,Technology
52475,Lucas Selects Chicago for New Museum,Entertainment,Entertainment
25118,Randy Jackson's Advice for the Top 2,Entertainment,Entertainment
57432,What Plot Point Did Scandal and Game of Thrones Share This Week?,Entertainment,Entertainment
829,A new Study regarding breast screening,Medical,Medical
9524,William Shatner and stars pay tribute to Mickey Rooney,Entertainment,Entertainment
26756,Batman v Superman title revealed,Entertainment,Entertainment
27905,"France's Alstom confirms $17 billion firm offer from GE, decision expected by  ...",Business,Business
7904,VMAs 2014: See the List of Winners,Entertainment,Entertainment
44950,HTC Sense 6 UI coming to previous-generation One devices,Technology,Technology
33619,Microsoft Puts Surface Pro 3 on Sale in the US and Canada,Technology,Technology
53369,No Major Changes in the FOMC Policy Statement,Business,Business
3903,"Madonna shows off unshaven armpits on Instagram: ""Long hair, don't care""",Entertainment,Entertainment
60254,"Ginnifer Goodwin, Josh Dallas Are Married!",Entertainment,Entertainment
21910,'I miss you and I'm sorry': Robin Thicke dedicates yet ANOTHER song to  ...,Entertainment,Entertainment
62514,Coachella 2014: Party it up with the desert's hottest events outside of the festival,Entertainment,Entertainment
39600,"'True Blood' Finale: Stephen Moyer on Whether to ""Tie Up the Bill-Sookie Love  ...",Entertainment,Entertainment
22282,Dr Dre could be set to become hip-hop's first billionaire,Technology,Technology
9946,"'X-Men' director Bryan Singer issues statement on sexual abuse claims, drops  ...",Entertainment,Entertainment
53675,"Merger Monday: Level 3, SanDisk, Medtronic",Business,Business
19051,"Sense 6 update will arrive to One (M7), Mini and Max this spring",Technology,Technology
9166,L'Wren Scott Is Laid To Rest In Los Angeles Funeral Attended By Mick Jagger  ...,Entertainment,Entertainment
33781,"Current Mortgage Interest Rates: Wells Fargo, Fixed, ARM and FHA Refinance  ...",Business,Business
60331,Ben & Jerry's to host Free Cone Day,Entertainment,Entertainment
28373,Batman Vs. Superman Costume Reveal Not Long Off,Entertainment,Entertainment
44483,Internet Explorer is unsafe as it leaves computers vulnerable to hackers,Technology,Technology
11026,Heartbleed bug could affect HealthCare.gov,Technology,Technology
29886,Paltrow's mum 'really upset' by split,Entertainment,Entertainment
5014,"Samsung has maximum smartphone subscriber additions in the US, followed by  ...",Technology,Technology
53181,Watch The Shell-Shocking Trailer For 'Teenage Mutant Ninja Turtles,Entertainment,Entertainment
16113,US attorney general Eric Holder announces criminal charge and deferred  ...,Technology,Business
10061,Barclays first half profit declines 7pc,Business,Business
22123,Facebook fights back with official response to “emotional” study…,Technology,Technology
25720,Neil Lane Says Juan Pablo Seemed Ready to Propose in St. Lucia,Entertainment,Entertainment
55163,Samsung Files Patent Infringement Suit Against Apple for Copying Two Patents,Technology,Technology
52029,Jay Leno to get nation's top humor prize in DC,Entertainment,Entertainment
53902,"'Girl Meets World' Trailer: Disney Releases First Teaser of Cory,Topanga And  ...",Entertainment,Entertainment
29517,Jodie Foster weds girlfriend,Entertainment,Entertainment
30738,Supreme Court limits existing EPA rules on emissions blamed for global warming,Business,Business
59004,Samsung Finds It Costly to Keep Up with China,Business,Technology
51140,You are here! Home > SCIENCE and TECHNOLOGY > Stunning NASA video  ...,Technology,Technology
118,"New MacBook Pro, MacBook Air, iPhone 6 & iPads 2014 to benefit from Apple  ...",Technology,Technology
56685,BUSINESS BRIEFING China Investigating Microsoft in Monopoly Case,Technology,Technology
59418,China and Russia sign 'historic' gas deal,Business,Business
48153,The electrical implant that can zap the paralysed into moving again,Medical,Medical
10511,WHO names and shames UK cities breaching safe air pollution levels,Technology,Technology
47542,Why Express (EXPR) Stock Is Surging Today,Business,Business
27881,"American Idol 2014: Who Went Home From the Top 9 — March 27, 2014",Entertainment,Entertainment
48408,Following the Sarah Jones Tragedy: Gregg Allman Sues to Block Production of  ...,Entertainment,Entertainment
61527,Sony Xperia C3 phablet,Technology,Technology
24509,Hunger Games: President Snow delivers second official trailer,Entertainment,Entertainment
35608,A cure for MERS?,Medical,Medical
48571,LG G Pad 8.3 Google Play Edition Gets Android 4.4.4 Update,Technology,Technology
49977,GAME OF THRONES: RECAP FOR APRIL 20,Entertainment,Entertainment
57244,Belvidere Chrysler Layoffs Extended,Business,Business
20650,Anyone who browses with Chrome will soon be able to use one of Android's best  ...,Technology,Technology
46430,"New iMac: Release Date, Specs, And Price",Technology,Technology
45914,"German Stocks Advance, Extending Two-Week Rally",Business,Business
64337,"GM recalls 4,75000 more vehicles due to software problem",Technology,Technology
42414,"KL-VS improves cognition, fights Alzheimer",Medical,Medical
6319,GUINEA Ebola's spread to capital raises fears,Medical,Medical
43354,FCC to Gut 'Net Neutrality' Rules,Technology,Technology
42372,IKEA to Raise Minimum Wage to $10.76 in All US Stores,Business,Business
64328,First Tenn. woman arrested on charges of drug use during pregnancy,Medical,Medical
8013,"GM, safety agency face Congressional grilling over recalls",Technology,Technology
7074,Astronomers possibly sight first exomoon,Technology,Technology
8867,RBI may not hesitate to wield the stick if foreign banks create local subsidiaries,Business,Business
10278,Updated Starbucks App Lets Customers Tip via iPhone,Business,Technology
63906,Gwyneth Paltrow: Did Strict No Treats For…,Entertainment,Entertainment
21520,Prince to release two new albums on same day,Entertainment,Entertainment
34919,Dragon supply capsule reaches orbiting ISS,Technology,Technology
28441,Walmart creates new online tool for customers to save more money,Business,Business
47300,Melissa McCarthy sells herself short as an unapologetic buffoon in Tammy,Entertainment,Entertainment
43560,How can fully grown adults care so much about their pets dying?,Entertainment,Medical
40692,Actor Johnny Depp Subpoenaed in Murder Case,Entertainment,Entertainment
17568,ECB ready to use asset purchases if needed: Coeure,Business,Business
19655,NYSE: TWTR,Business,Business
14781,Crocodile close calls: UK man walks length of Nile,Technology,Medical
21039,'Sons of Guns' Star Will Hayden Arrested for Allegedly Raping a 12-Year-Old,Entertainment,Entertainment
17759,Keira Knightley on a song,Entertainment,Entertainment
46329,Are Kim Kardashian and Kanye West Staging Decoy Weddings?,Entertainment,Entertainment
46756,Review: You don't need kids to enjoy 'Muppets Most Wanted',Entertainment,Entertainment
25498,Viewers frustrated as baby eagle dies on Maine webcam,Technology,Entertainment
4471,Alibaba Partners With Shoprunner To Sell American Products In China,Business,Business
14028,Samuel L Jackson: In the Nick of time,Entertainment,Entertainment
14092,It's Geithner Vs. Warren In Battle Of The Bailout,Business,Business
29786,The Best and Worst-Dressed Men at the 2014 MTV Movie Awards,Entertainment,Entertainment
37149,Andi Dorman's 'Bachelorette' Wedding To Josh Murray: Will It Be Televised?,Entertainment,Entertainment
11844,Priceline (PCLN) Buys OpenTable to Kickstart Slowing Growth,Business,Business
46614,'Outrageous grab!' Coke investor slams $24bn management pay deal,Business,Business
34947,Adorable video: Baby goat cries with glee over new wheelchair,Medical,Entertainment
49852,Review: Samsung Galaxy Note 10.1 vs Apple iPad Air – Price & Specifications,Technology,Technology
17515,Report links obesity to ovarian cancer,Medical,Medical
38756,The Fight for Survival: Josh Hardy's Story,Medical,Entertainment
53617,"Climate change threatens India's economy, food security",Technology,Technology
23172,'Midnight Rider' Filmmakers Charged with Involuntary Manslaughter in Sarah  ...,Entertainment,Entertainment
7043,Scientists create the first life form with 'alien' DNA,Technology,Technology
32639,Jurors consider Anglo verdict,Business,Business
54527,Snapchat valued at more than $10 billion - report,Business,Business
21832,"Don't Use Internet Explorer, Homeland Security Warns",Technology,Technology
49757,Report: Apple in talks to buy Renesas chip joint venture,Business,Technology
59650,Cannes: Ken Loach Downplays Past Comments on Retirement Plans,Entertainment,Entertainment
39599,'Veronica Mars' a solid cinematic turn,Entertainment,Entertainment
61450,Zendaya Coleman Doesn't Want To Be Aaliyah After All! Drops Out Of The Biopic!,Entertainment,Entertainment
33701,"Justin Bieber worries Selena Gomez's family, suspects deposition setup",Entertainment,Entertainment
38129,Upturn set amid IMF fears for momentum,Business,Business
64774,Twitter Is Making Some Employees Rich Today,Business,Business
3764,"Recap: 'Game Of Thrones' Returns With Strong Season 4 Opener, 'Two Swords'",Entertainment,Entertainment
61872,Peaches Geldof dies at age of 25,Entertainment,Entertainment
15324,Asiana Airlines Admits Pilot Error to Blame for San Francisco Crash,Business,Business
1339,Why Lithium Bought Klout (And Why $200 Million Is Optimistic),Business,Business
15583,"Google, Intel Show Latest Chromebooks",Technology,Technology
1847,Cory Monteith's Mum speaks out about her loss,Entertainment,Entertainment
26664,"Stocks End Ho-Hum Quarter on an Upswing; Healthcare, Tech Shares Lead  ...",Business,Business
20311,'Dancing With The Stars' Week 5 Recap & The Shocking Elimination,Entertainment,Entertainment
7977,Channel Tunnel breakdown: Services returning to normal,Business,Entertainment
44947,Ebola epidemic spreads to Liberia,Medical,Medical
50419,Illinois man thought to have MERS gets clean bill of health,Medical,Medical
8622,Microsoft Successfully Challenges FBI Order For User Info,Technology,Technology
54998,"Flappy Bird will fly again, but it's going to take a while",Technology,Technology
14689,Game of Thrones Plus Frozen Equals “Let It Go(T)”,Entertainment,Entertainment
59754,Anna Wintour Addresses Kanye West & Kim Kardashian 'Vogue' Cover,Entertainment,Entertainment
43289,Microsoft planning largest job cuts since 2009,Technology,Technology
13987,GRAINS-Wheat firms for first session in three ahead of USDA report,Business,Business
18172,Amazon set to launch streaming music,Entertainment,Technology
57603,Will Ferrell and Chad Smith have a drum-off,Entertainment,Entertainment
24049,"Nas kicks off Tribeca with documentary, concert",Entertainment,Entertainment
36999,China warns Vietnam to withdraw ships from disputed South China Sea,Business,Business
24658,Yuan's trading band eased despite slowdown,Business,Business
25543,Microsoft's New CEO's Moves Starting to Pay Off,Business,Technology
29257,Menino diagnosed with advanced cancer,Medical,Medical
2579,Free coffee at McDonald's starts Monday,Business,Business
34918,Further Proof That Women in 'Game of Thrones' Are Pawns in...,Entertainment,Entertainment
6158,Should I get a Mac Desktop or Laptop?,Technology,Technology
10153,BOJ Monetary Policy Statement,Business,Business
30136,Slime time at Kids' Choice Awards,Entertainment,Entertainment
27634,Handicapping the Fed,Business,Business
43516,Is the Amazon Fire Phone Right for You?,Technology,Technology
1491,Alstom Board recommends GE's takeover offer,Business,Business
24378,'Dancing With the Stars' winners are ...,Entertainment,Entertainment
62100,STAGE TUBE: Meet the Men of the Kit Kat Klub- the Past Emcee's of CABARET!,Entertainment,Entertainment
17651,No turning back: Obamacare is here to stay,Business,Business
29622,Ireland's manufacturing sector grows for 13th consecutive month,Business,Business
15278,Identity thieves getting more creative and bold in stealing billions in tax refunds  ...,Business,Business
51393,Pictures: MTV Movie Awards fashion 2014,Entertainment,Entertainment
20307,Best Dressed at the Billboard Music Awards 2014: Our 11 Favorite Red Carpet  ...,Entertainment,Entertainment
58416,"Asian shares struggle, dollar slips as Ukraine tensions rise",Business,Business
26793,Duck Dynasty's Phil Robertson filmed unleashing homophobic rant,Entertainment,Entertainment
59830,BofA to pay $9.5 billion over mortgage bonds,Business,Business
37063,AMD showcases Seattle A57 part,Technology,Technology
65011,'New' Michael Jackson album due in May,Entertainment,Entertainment
53019,"Gay marriage, climate change, and other white leftist movements",Technology,Technology
18237,AT&T-DIRECTV Deal Could Make Regulators Less Nervous About Comcast  ...,Technology,Technology
16136,SwitchGate: Feds Open Criminal Probe of GM's Ignition Switch Recall,Business,Technology
52441,Candy Crush Maker Goes Public This Week,Business,Business
10203,Samsung Galaxy K (Galaxy S5 Zoom) stars in new leaked pictures,Technology,Technology
42081,Amazon sales could dip in Florida when sales tax kicks in May 1,Business,Business
4721,"IBM Beats on Earnings, Revenues; Positive Outlook for 2H",Business,Business
57340,Did Seth Rogen just start World War III?,Entertainment,Entertainment
24664,Can MKS Instruments (MKSI) Keep the Earnings Streak Alive?,Business,Business
24177,"Gold Hangs Hopes On Yellen Testimony, Crude Turns Gaze Back To US",Business,Business
58640,HP may cut 16000 more jobs as results disappoint,Business,Business
54652,Social Insurance Numbers of about 900 taxpayers stolen from CRA systems  ...,Technology,Business
51989,"Samsung, LG Launch Smartwatches with New Google Software",Technology,Technology
59245,Watch 24 Live Another Day Online Free: Livestream Fox For Jack Bauer's  ...,Entertainment,Entertainment
58205,CBS Outdoor jumps in trading debut as it targets more ad spending,Business,Business
23956,Heartbleed fixes taking longer as websites work to plug gaps,Technology,Technology
58362,'Game Of Thrones': Bran Stark's Secret…,Entertainment,Entertainment
41860,George Takei releases own 'Let It Go' cover in response to 'God Hates Fags  ...,Entertainment,Entertainment
21819,UPDATE 1-Ukraine crisis worries hammer German investor morale,Business,Business
58299,Can Anyone Compete with Amazon?,Business,Business
63071,"Ranbaxy slumps, Sun Pharma surges on $3.2 billion acquisition",Business,Business
47203,"Mostly great, 'The Leftovers' fascinates, depresses and confuses",Entertainment,Entertainment
55728,Disney's 'Aladdin' unleashes a genie on Broadway,Entertainment,Entertainment
