No,Comment,Class
254,RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX)  CLICK! SUBSCRIBE!,spam
255,"Usually guys I would vote people like this down but actually check out his channel, it reminds me of a smaller version of 8 mile. Give this guy a chance since everyone has to start somewhere!",spam
256,"hey guy if you can please SUBSCRIBE to my channel im a young dedicated rapper i post videos everyday to improve  i write/perform/record/mix/edit/post everyday  i do a verse everyday (16 bars)to improve i'm doing it for 365 days a whole year to improve right now i'm on day 46  if you guys can please like this comment so everyone can see it and follow me on my journey/watch me improve everyday SUBSCRIBE PLEASE I'm lyrical and i keep it real  help me reach my dream,help me build a fan base,THANKS(:",spam
257,"Hey? Everyone Please take a moment to read this. I work my ass off hoping to make it into the music industry but its hard to? get people to hear you when you don’t have money for advertisements and exposure I am a Young Artist who has dreams and goals like everybody else Please take 30 seconds and visit my channel You don’t have to like? me, just give me a chance to prove my talent Also, please take just 1 second of your life and Thumb this comment up it would be Super Helpful.",spam
258,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the burst render the symptomatic bite? The knowledge briefs the narrow thought. How does the eager sky transmit the crush?",spam
260,e.e....everyone could check out my channel.. dundundunnn,spam
261,SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE,spam
262,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ CHECK OUT MY CHANNEL ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬,spam
263,Do you need more instagram followers or photo likes? Check out IGBlast.com and get em in minutes!,spam
264,Check out my channel im 15 year old rapper!,spam
265,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The loud authority improves the canvas. When does the mother repair the uppity learning? The substantial cook derives the harbor.",spam
266,Check out my mummy chanel!,spam
267,/watch?v=aImbWbfQbzg watch and subscrible,spam
268,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave",spam
269,if u love rihanna subscribe me,spam
271,eminem new song check out my videos,spam
272,"Hi I'm lil m !!! Check out love the way you lie!!!! My live performance and many others,,, videos and my own lyrics!!!!! Thanks",spam
273,"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",spam
274,"Please check out my youtube channel! Just uploaded my first youtube video please check it out, you will not regret it!",spam
275,everyone come and check out the new GTA 5 Gameplay right Here : /watch?v=6_H0m5sAYho,spam
277,"i been working so hard for the past 60 days to improve i been writing/recording/mixing/performing 16 bars everyday im doing it for a whole year(365 days) today i'm on day 60 today i work so hard now i'm doing 2 verses everyday to improve i'm going all the way to 365 PLEASE SUBSCRIBE to my channel  help me build a fan base ,watch me improve,help me get closer to my dream i'm lyrical and i keep it real i won't leave you down i promise(: PLEASE SUBSCRIBE please like this  commment so people can see",spam
278,"Come check out our music channel! go check out the song ""Love Me"" by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don't check it out you're still an amazing person just for reading this post",spam
279,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Wazzasoft Industry Sertave Wind Tendency Order Humor Unelind Operation Feandra Chorenn Oleald Claster Nation Industry Roll Fuffapster Competition Ociramma Quality",spam
280,"Finally someone shares the same opinion as me. I've tried really hard to like Gangnam style but I just can't, I don't even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",spam
282,"youtube.com/watch?v=2ASFn9ShgHk&feature=youtu.be  please check out my song. looking for feedback, and supporters.",spam
283,check out my page ADAM B BEATS 2013,spam
284,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  When does the flimsy slip facilitate the manager? How does the noise set goals the anxious regret? How does the actually loss retrieve the smile?",spam
285,Hey guys ready for more 87 Cyphers back check out my video on YouTube. NEW ALBUM IS OUT CHECK IT OUT. MORE MUSIC TOMORROW THANKS FOR READING,spam
287,like this comment then type 1337,spam
288,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language.",spam
289,Subscribe To Mê Please Guys,spam
290,3 yrs ago I had a health scare but thankfully I’m okay. I realized I wasn’t living life to the fullest.  Now I’m on a mission to do EVERYTHING I’ve always wanted to do. If you found out you were going to die tomorrow would you be happy with what you’ve accomplished or would you regret not doing certain things? Sorry for spamming I’m just trying to motivate people to do the things they’ve always wanted to. If you’re bored come see what I’ve done so far! Almost 1000 subscribers and I just started!,spam
291,He gets more views but has less subscribers lol,spam
292,CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere,spam
293,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Memory Ferirama Besloor Shame Eggmode Wazzasoft Sasaroo Reiltas Moderock Plifal Shorogyt Value Scale Qerrassa Qiameth Mogotrevo Hoppler Parede Yboiveth Drirathiel",spam
294,tryna work with some rappers check out the ones i already have on my channel,spam
295,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The cook officiates the tax. The walk judges the amount. Why does the ink train the valuable increase?",spam
296,Every weekend a new lyric video of Eminem here VIEW LIKE SUBSCRIBE,spam
297,Please check out my New Song (MUSIC VIDEO) AD - Dont Play,spam
299,Hey check out my channel!!!! Please,spam
301, Subscribe and like my video please,spam
302,adam b beats check out my page 2013,spam
304,"yo I know nobody will probably even read this..  but, Imma type it any way because i hope at least one person will  i'm a rapper with a dream. I know there's like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the ""THUMBS UP"" other people will see it  just a simple button press? could make my dream come true =) Thank You",spam
305,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mammoth waste achieve the shock? How does the limit reduce the delicate minute? How does the meaty scale adapt the oil?",spam
306,SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG   SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG,spam
307,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Busyglide . Sasaroo . Sore . Chillpal . Axiomatic . Naperone . Mere . Undesirable . Agreeable . Encouraging . Imperfect . Roasted . Insidious . Modgone . Quickest . Trelod . Keen . Fresh . Economic . Bocilile",spam
308,watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA,spam
309,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the view disclose the macho lift? Why does the letter frame the thundering cause? Why does the talk prevent the conscious memory?",spam
310,"hey guys if you guys can please SUBSCRIBE to my channel ,i'm a young rapper really dedicated i post a video everyday ,i post a verse (16 bars)(part of a song)everyday to improve i'm doing this for 365 days ,right now i'm on day 41  i'm doing it for a whole year without missing one day if you guys can please SUBSCRIBE and follow me on my journey to my dream watch me improve, it really means a lot to me  thank you (:, i won't let you down i promise(: i'm lyrical i keep it real!",spam
311,SubScribe me pls EMİNEM FANS,spam
312,Fruits and vegetables give you longer lasting energy for weight loss.  Check out youtube.com/user/36loseweight.,spam
313,subscribe to my channel  /watch?v=NxK32i0HkDs,spam
314,SUBSCRIBE TO ME! I MAKE MUSIC!,spam
315,hey guys look im aware im spamming and it pisses people off but please take a moment to check out my music.  im a young rapper and i love to do it and i just wanna share my music with more people  just click my picture and then see if you like my stuff,spam
316,WATCH MY VIDEOS AND SUBSCRIBE,spam
317,subcribe to us an we will subscribe back,spam
318,share and like this page to win a hand signed Rihanna photo!!! fb -  Fans of Rihanna,spam
320,"Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko ",spam
321,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Waratel . Misty . Exciting . Swoquix . Acaer . Chillpal . Tupacase . Arrowgance . Lively . Hard . Idiotic . Bored . Cool . Ablaze . Crabby . Aloidia . Cheilith . Feandra . Useless . Ploosnar",spam
322,"CHECK OUT THIS NEW VIDEO I MADE CALLED ""WE LOVE MIND MASTER IT"", THANK U SO MUCH ",spam
323,"this is the 4th most watched video on youtube. and hes the 21 most subscribed channel on youtube, just recentley surpassing justing bieber and is less then 1,00 subs away from beating taylor swift",spam
324,COFFEE ! LOVERS ! PLEASE ! READ ! Check out a song I wrote and sing on You Tube called COFFEE LOVA.Type COFFEE LOVA like I spell it while your already on You Tube hit enter.Then look for video titled COFFEE LOVA hit enter and BLAST ! OFF !,spam
325,Hey everyone check out my channel leave a like and subscribe please and if there is a song you want me to do post the name in the comments and I will get on to it(: Thanks,spam
326,"This great Warning will happen soon. ,0
LneaDw26bFst76VHKJL8PxaEy6VMNlvmriUDTSFK6vY,Ali Paša,2013-09-26T22:28:17.047000,Croatia <3,0
LneaDw26bFvkAHxpKEnM25FYWkyXthsUpri6JuQsZnU,G Belrus,2013-09-26T22:26:12.832000,Nice one,0
LneaDw26bFtvZQt6JUEhasIEFRJG1exI_dVqdnQVPho,exode. comeback.,2013-09-26T22:23:00.710000,600m views.,0
LneaDw26bFunOarAg71AwGU6TJO6aZDKFIUn_TZ1_HY,Muhammad Shaeel Abbas,2013-09-26T22:15:45.476000,Fuck off!,0
LneaDw26bFt-oToUFj0z3vffLFNaxyKwZSIVQhiMx-E,Notorious Niko,2013-09-26T22:00:43.613000,""Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko ",spam
329,Also check out D.j.j where do i go now and road to recovery,spam
331,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",spam
333,"Huh, anyway check out this you channel: kobyoshi02",spam
334,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",spam
335,CHECK OUT MY CHANNEL,spam
336,just for test I have to say murdev.com,spam
338,marketglory . com/strategygame/andrijamatf earn real money from game,spam
342,Check out this video on YouTube:﻿,spam
346,I really love this video.. http://www.bubblews.com/account/389088-sheilcen﻿,spam
352,https://www.surveymonkey.com/s/CVHMKLT﻿,spam
353,everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,spam
354,Add me here...https://www.facebook.com/TLouXmusic﻿,spam
358,"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",spam
360,I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,spam
362,"Hey guys go to check my video name ""growtopia my story""﻿",spam
365,https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,spam
368,Thumbs up if your watching in 2015﻿,spam
369,Go to my channel if u want to see a fly getting burned alive﻿,spam
370,Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,spam
371,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,spam
372,EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS ﻿,spam
377,If i reach 100 subscribers i will tazz my self and my friend﻿,spam
379,subscribe like comment﻿,spam
381,"Hey I'm a British youtuber!!I upload Weekly!! It would mean the world if you could subscribe!!Thanks,Joyce!!﻿",spam
382,"check out ""starlitnightsky"" channel to see epic videos﻿",spam
383,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,spam
385,https://www.facebook.com/profile.php?id=100007085325116﻿,spam
389,Thank you. Please give your email. ﻿,spam
397,Hey guys! My mom said if i got 100 subs before christmas I'll get a kitten  and I always have wanted an kitten so please watch my videos and if you  like it subscribe or like :) Please no mean comments﻿,spam
401,"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE & Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",spam
406,Hey guys. I am a very small YouTuber I upload videos nearly every single  day. I once hope to be like shikas so can you please give 2 mins of your  life to view this channel. and my new video is on how to watch all the  anime for free. and I am pretty sure you wont regret visiting this channel. Thank you!﻿,spam
408,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,spam
410,Subscribe to My CHANNEL﻿,spam
411,Check out this video on YouTube:Facebook lhudygirlamaya ﻿,spam
412,hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿,spam
413,I did a cover if u want to check it out THANK U.....Michael Age 8﻿,spam
414,"iS IN TOP 10 , IN YOUTUBE TOP VIEWS , ON 9 IS MILEY CYRUS: http://www.google.ro/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CB8QFjAA&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_most_viewed_YouTube_videos&ei=OQ3yU9DWC8L4yQOYo4GoAw&usg=AFQjCNGKM-Idplal6kuVKoEkVgdTT2jVLQ&sig2=OnqZzad3q3CmNBe9nml4gA&bvm=bv.73231344,d.bGQ&cad=rja ﻿",spam
417,Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿,spam
419,Hey ! Subscribe  to me for the peace in the world ! ♥﻿,spam
420,http://9gag.com/gag/aAVpwj9/ =)﻿,spam
423,Sub my channel!﻿,spam
424,"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",spam
425,SUP GUS THIS IS A VIDEO FOR PEOPLE WHO LOVES PARTY ROCK SO THANKS FOR WATCHING AND PLEASE SUBSCRIBE:)!!﻿,spam
431,pleas subscribe on me for ps4 games video ______________________________if you have som tips so contact me on kik or skype______________________________Kik: pander26Skype: sander.nicolaysen2______________________pleas subscribe on me and Kashoo Gaming﻿,spam
434,Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,spam
435,Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It's much appreciated. Cheers! #EveryDayImVaping ;-)﻿,spam
437,Visit my channel﻿,spam
438,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,spam
440,Our Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw﻿,spam
444,Check out this video on YouTube:lo﻿,spam
447,http://minhateca.com.br/mauro-sp2013/Filmes+Series+Desenhos+Animes+Mp3+etc﻿,spam
448,"#nowplaying ""Weekendmix"" track 04 : Katy Perry - Roar (DJ Denis Shmelev & DJ Alex Serov Remix) http://youtu.be/CevxZvSJLk8   Listen live at: www.smartfm.nl/livestream.html﻿",spam
455,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,spam
456,Omg can this be the first video on YouTube to hit 1 billion views like this comment of you agree.﻿,spam
471,Check out this playlist on YouTube:﻿,spam
472,Come subscribe﻿,spam
474,"I love katy fashions tiger, care to visit my blog sinar jahitan  I also have the tiger collections tqvm﻿",spam
475,Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,spam
477,and u should.d check my channel and tell me what I should do next!﻿,spam
479,http://www.aaas.org/tech-i/vote#view/25874/2177367 VOTE SHELDON PLEASE  GUYS. GIVE IT 5 STARS. THANKS IN ADVANCE﻿,spam
485,coby this USL and past :http://adf.ly /1HmVtXdelete space after y﻿,spam
490,"Like this comment, guys i just started up a new channel if i can get 200 subscribers by tonight ill do a $20 paypal giveaway like this comment so your friends can see it or others and they can also be entered GO !!!﻿",spam
491,Check the shit out on my channelSUBSCRIBE YOU WILL LIKE IT﻿,spam
493,Get free gift cards and pay pal money!﻿,spam
497,Take a break from Katie and help me reach 100 subscribers this month!  New  music and free downloads! ﻿,spam
500,im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,spam
502,like this comment if your watching in 2015 or 2016﻿,spam
504,"okay, this should cover me for some time... Thumbs up if you're watching while youtube still exists.﻿",spam
507,www.marketglory.com/strategygame/lordviperas﻿,spam
511,Check out this playlist on YouTube:👿👳👳👳👳👳﻿,spam
522,katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,spam
527,follower please https://www.facebook.com/lists/161620527267482﻿,spam
529,Check out this video on YouTube:Gotta dance and just have a blast every time I hear this song !!!! Just ❥love❥ it!﻿,spam
533,Check out this video on YouTu﻿,spam
537,Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,spam
545,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,spam
547,Please subscribe to my channel!Thanks!﻿,spam
551,ALL SCHOOL DROP OUTS I KNEW AS FRIENDS BEFORE THEY DECIDED TO DROP SCHOOL THINK THERE IS NO NEED FOR AN ID CARD OR A CERTIFICATION TO PROVE YOU ARE AN EDUCATED CLEAN IN CRIMINAL RECORD TALENTED PERSON TO WORK IN ANY ENTERTAINMENT FIELD WORLDWIDE. THEY THINK THEY COULD BE RICH ENTERTAINERS BY CONSOLIDATING WITH ACTORS / ACTRESSES AS WELL AS SINGERS FOR A SHARE OF PROFIT(S).﻿,spam
557,Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmas﻿,spam
559,Check out this video on YouTube﻿,spam
563,Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,spam
564,Hello from Russia comes to the channel subscribe﻿,spam
565,https://m.freemyapps.com/share/url/505b0232﻿,spam
569,"Hey guys, I was working last night on this project, it's a music streamer  like spotify, but it allows you to download the files to listen to when  you're offline. Opening it as a free beta, feel free to try it out :) download: https://mega.co.nz/#!ehVjzKyA!5bGKg2iWPHZOHWAEUesrWnegqG_lABcO7Rw9WFX8hAo﻿",spam
570,subscribers please`﻿,spam
572,want to win borderlands the pre-sequel? check my channel :)﻿,spam
578,SUBSCRIBE me. if you do that leave your name so i can subs back ﻿,spam
581,like this comment if ur watching this on 2015 ﻿,spam
582,"HAHAA THIS DANCE IS TIGHTTTTI know y'all ""…ain't got time for MY demo man""  but check out some of my stuffSlappers on slappers on bangers! Click that link below to peep game! ENJOY. https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk﻿",spam
584,Abomination! Subscribe if you agree :| party here in my channel. cool lights.﻿,spam
585,There are beautiful songs please subscribe﻿,spam
591,hi guys check my youtube channel﻿,spam
592,Ummm... I just hit 1k subscribers. I make Minecraft videos. Help me out by checking me out?﻿,spam
593,http://hackfbaccountlive.com/?ref=5242575﻿,spam
596,Aslamu Lykum... From Pakistan﻿,spam
597,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,spam
598,Thumbs up if FE-FE-FE-FE-FEGELEIN brought u here﻿,spam
602,hi guys please my android photo editor download. thanks https://play.google.com/store/apps/details?id=com.butalabs.photo.editor﻿,spam
604,http://www.ermail.pl/dolacz/UnNfY2I=                  Please click on the  link﻿,spam
606,Can anyone sub to my channel? :D﻿,spam
607,hey guys im 17 years old remixer and producer and i want you guys to help me checking my videos i am sure you will love those music if you love them then subscribe so you will know more about me:)﻿,spam
610,Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿,spam
612,Check out this playlist on YouTube:m﻿,spam
613,Check out this playlist on YouTube: I tried﻿,spam
616, GO TO MY CHANNEL and check out my written songs﻿,spam
618,Lol check out my chanell and subscribe please i want 5000 subs thats it im nearly their now﻿,spam
621,PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,spam
626,Katty perry please say in one of your new videoes that they follow the  Girls Girls please﻿,spam
628,http://www.twitch.tv/daconnormc﻿,spam
638,Subscribe﻿,spam
643,Subscribe me and i subscribe you back!!﻿,spam
644,guys please subscribe me to help my channel grow please guys﻿,spam
646,LIKE AND SUBSCRIBE﻿,spam
649,"<script>document.write('<a target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&pub=5575096797&toolid=10001&campid=5337555197&customid=bogdan+grigore&ipn=psmain&icep_vectorid=229508&kwid=902099&mtid=824&kw=lg"">check  this out new arive on ebay</a><img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&pub=5575096797&toolid=10001&campid=5337555197&customid=bogdan+grigore&mpt='+Math.floor(Math.random()*999999999)+'"">');</script><noscript><a  target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&pub=5575096797&toolid=10001&campid=5337555197&customid=bogdan+grigore&ipn=psmain&icep_vectorid=229508&kwid=902099&mtid=824&kw=lg"">check  this out new arive on ebay</a><img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&pub=5575096797&toolid=10001&campid=5337555197&customid=bogdan+grigore&mpt= ""></noscript>﻿",spam
652,subscribe﻿,spam
654,katy is beautiful. and this song is catchy. I'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls﻿,spam
657,https://www.reverbnation.com/slicknick313/songs﻿,spam
662,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,spam
663,plz subscribe to my channel i need subs and if you do i will sub back i  need help﻿,spam
665,http://vimeo.com/106865403﻿,spam
666,Thank you KatyPerryVevo for your instagram likes @axeljonssons﻿,spam
667,I subscribed it﻿,spam
672,hi everyone this is cool check out sexy and i know it﻿,spam
673,https://www.facebook.com/pages/%D8%AA%D8%AD%D9%85%D9%8A%D9%84-%D8%A7%D8%AC%D9%85%D9%84-%D8%A7%D9%84%D8%A7%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89___-music/674732645945877 ﻿,spam
680,I like This Comment and do not kill :P﻿,spam
682,this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿,spam
685,....subscribe......  ......to my........  .....channel.......﻿,spam
687,VOTE FOR KATY FOR THE EMAs! #KATYCATS  http://tv.mtvema.com/artists/katy-perry/i38xh1﻿,spam
690,"COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!﻿",spam
695,Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,spam
697,If you looking for new music to listen to check out cece song called  dead2me on iTunes music video out now right here on youtube.﻿,spam
702,Follow me on Twitter @mscalifornia95﻿,spam
704,Take a look at this video on YouTube:﻿,spam
712,"Hey guys! Please join me in my fight to help abused/mistreated animals! All  fund will go to helping pay for vet bills/and or helping them find homes! I  will place an extra emphasis on helping disabled animals, ones otherwise  would just be put to sleep by other animal organizations. Donate please. http://www.gofundme.com/Angels-n-Wingz﻿",spam
713,https://www.facebook.com/myfunnyriddles﻿,spam
715,Hey guys subscribe to my channel for no reason! Please!..﻿,spam
730,Subscribe me Secret videos :D﻿,spam
733,subscribe to me﻿,spam
734,Plizz withing my channel ﻿,spam
738,Help Please!!  http://www.gofundme.com/RJanimalcare﻿,spam
745,Please subscribe to us and thank you﻿,spam
748,Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿,spam
749,http://www.gofundme.com/gvr7xg﻿,spam
750,Like this comment if you are watching on a phone﻿,spam
755,please suscribe i am bored of 5 subscribers try to get it to 20!﻿,spam
762,cool song check out my animal trafficking petition.http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick﻿,spam
